,date,home_win,p_ml_away_final,r_log_win_actual_payout,r_log_win_actual_payout_adj,r_lin_win_actual_payout,r_lin_win_actual_payout_adj,log_o6_final,log_o7_final,log_o8_final,log_o6_final_adj,log_o7_final_adj,log_o8_final_adj,lin_o6_final,lin_o7_final,lin_o8_final,lin_o6_final_adj,lin_o7_final_adj,lin_o8_final_adj
92,2010-08-04,8,1222.0,-393.2799999999999,-1348.22,-569.15,-1169.7100000000005,100.0,283.84000000000003,-189.0,300.0,797.69,-678.0,100.0,-284.0,407.21,300.0,-136.0,1086.83
93,2010-08-05,5,37.0,-329.81,-1022.51,-66.84,292.35,0.0,-9.090000000000003,-113.04,0.0,81.82,-413.04,0.0,-9.090000000000003,90.96,0.0,81.82,-5.040000000000006
94,2010-08-06,4,-291.0,-276.83000000000004,-1777.48,256.96,270.1099999999999,90.91,-102.91,90.63000000000001,363.64,-405.83000000000004,73.85999999999999,90.91,-124.24,85.75999999999999,363.64,-624.24,246.96000000000004
95,2010-08-07,9,430.0,222.89999999999998,496.15,-427.4699999999998,-1658.2599999999998,90.91,-112.28,-200.0,90.91,-612.28,-600.0,90.91,72.47,-200.0,90.91,-58.039999999999964,-600.0
96,2010-08-08,9,545.0,753.1,2637.6499999999996,-229.82999999999998,-614.36,80.0,72.16,-300.0,240.0,683.88,-600.0,80.0,70.42999999999999,-118.7,240.0,151.38,-237.4
97,2010-08-09,1,-293.0,-59.019999999999996,104.13999999999999,160.98000000000002,324.14,0.0,84.75,9.0,0.0,169.49,18.0,0.0,-100.0,9.0,0.0,-200.0,18.0
98,2010-08-10,3,819.0,-294.65000000000003,-539.8799999999999,394.3500000000001,1573.12,0.0,-112.28,279.12,0.0,-36.839999999999975,738.36,0.0,-112.28,-103.91999999999997,0.0,-36.839999999999975,-211.75999999999996
99,2010-08-11,6,754.0,321.71000000000004,724.0400000000001,378.71000000000004,1216.09,90.91,224.04000000000002,0.0,272.73,220.12,0.0,90.91,24.0,0.0,272.73,36.0,0.0
100,2010-08-12,7,562.0,319.25,1449.06,428.46000000000004,948.69,0.0,0.0,-200.0,0.0,0.0,-400.0,0.0,0.0,-200.0,0.0,0.0,-400.0
101,2010-08-13,5,-136.0,-539.02,-1795.12,-82.02000000000001,-615.12,0.0,2.0,191.72,0.0,106.0,487.44,0.0,-200.0,-12.280000000000001,0.0,-500.0,-124.56
102,2010-08-14,6,1059.0,-508.74,-1693.1299999999999,118.51000000000002,-569.13,0.0,-400.0,-9.090000000000003,0.0,-1400.0,81.82,0.0,-189.0,183.5,0.0,-556.0,274.40999999999997
103,2010-08-15,10,1465.0,-284.26,92.8999999999998,99.80999999999999,-248.73999999999995,0.0,211.74,158.51999999999998,0.0,966.97,308.89,0.0,-180.0,-216.67000000000002,0.0,0.0,-816.67
104,2010-08-16,4,406.0,44.05000000000001,720.27,44.05000000000001,720.27,0.0,0.0,-18.700000000000003,0.0,0.0,-337.4,0.0,0.0,-18.700000000000003,0.0,0.0,-337.4
